,transaction_ID,transaction_type,transaction_date,transaction_status,transferring_registry,transferring_account_type,transferring_account_name,transferring_account_ID,transferring_account_holder,acquiring_registry,acquiring_account_type,acquiring_account_name,acquiring_account_ID,acquiring_account_holder,units
59,EU520671,10-0,2019-04-30 15:16:52.613,Completed,United Kingdom,100,Mitsui Bussan Commodities Ltd,5017395,Mitsui Bussan Commodities Ltd,United Kingdom,100,ED&F Man Capital Markets Ltd,5023256,E D & F MAN CAPITAL MARKETS LIMITED,407000
60,EU507736,10-2,2019-04-30 15:14:13.558,Completed,Germany,100,438 - Anlagenkonto,5014336,Kerawil Tonwerk Wilhelmshöhe GmbH i.I. vertr. durch InsV Hans-Achim Ernst,European Commission,100,EU Allowance deletion,5016380,European Commission,3544
61,EU520669,10-2,2019-04-30 15:06:13.441,Completed,Italy,100,Operator Account,5012494,CARTIERA DI FERRARA S.P.A.,European Commission,100,EU Allowance deletion,5016380,European Commission,23965
62,EU520670,10-2,2019-04-30 15:00:16.492,Completed,France,100,TOMATES D'AQUITAINE,5023923,SAS TOMATES D'AQUITAINE,European Commission,100,EU Allowance deletion,5016380,European Commission,1945
63,EU520667,10-2,2019-04-30 14:58:25.904,Completed,Czech Republic,100,Papírna APIS s.r.o.,5027201,"Papírna APIS, s.r.o.",European Commission,100,EU Allowance deletion,5016380,European Commission,295
64,EU520642,10-2,2019-04-30 14:57:23.486,Completed,Spain,100,"Ecollería, S.L.",5024321,"Ecollería, S.L.",European Commission,100,EU Allowance deletion,5016380,European Commission,4412
65,EU520594,10-2,2019-04-30 14:56:44.54,Completed,Germany,100,Werk Groß Ammensleben,5018530,Dachziegelwerke Nelskamp GmbH,European Commission,100,EU Allowance deletion,5016380,European Commission,42839
66,EU520202,10-0,2019-04-30 14:51:29.904,Completed,Czech Republic,100,"ČEZ ESCO, a.s.",5024707,"ČEZ ESCO, a.s.",Czech Republic,100,Papírna APIS s.r.o.,5027201,"Papírna APIS, s.r.o.",295
67,EU520663,10-0,2019-04-30 14:47:55.57,Completed,France,100,BNP PARIBAS,5027964,BNP PARIBAS,Italy,100,ENEL TRADE ITALIA,5016899,Enel Global Trading S.p.A.,22000
68,EU517812,10-2,2019-04-30 14:47:10.895,Completed,Norway,100,Huntonit AS,5012242,Huntonit AS,European Commission,100,EU Allowance deletion,5016380,European Commission,10858
69,EU520662,10-0,2019-04-30 14:46:54.58,Completed,France,100,BNP PARIBAS,5027964,BNP PARIBAS,Netherlands,100,BNP Paribas London Branch,5027681,BNP Paribas London Branch,1314000
70,EU520120,10-0,2019-04-30 14:46:24.8,Completed,Spain,100,"Arcelormittal Sestao, S.L.U.",5009489,"ARCELORMITTAL SESTAO, S.L.U.",France,100,ARCELORMITTAL TREASURY Détention,5026253,ARCELORMITTAL TREASURY,31265
71,EU520659,10-0,2019-04-30 14:45:58.514,Completed,United Kingdom,100,ABN AMRO Clearing Bank N.V,5017351,"ABN AMRO Clearing Bank N.V, London Branch",Denmark,100,Danske Commodities A/S,5017234,Danske Commodities A/S,25000
72,EU520198,10-0,2019-04-30 14:42:55.078,Completed,Spain,100,"Sistema Europeo de Negociación de Co2, S.L.",5020183,"SISTEMA EUROPEO DE NEGOCIACIÓN DE CO2, S.L.",Bulgaria,100,Keros Bulgaria EAD,5019141,Keros Bulgaria EAD,17726
73,EU520201,10-0,2019-04-30 14:40:28.688,Completed,Belgium,100,072 E ON Generation Belgium - Centrale Langerlo,5004471,Langerlo,Belgium,100,089 Electrabel Turbo Jet back up Cierreux,5004488,Electrabel,9895
74,EU519628,10-0,2019-04-30 14:37:06.263,Completed,France,100,SOBEGI LACQ,5005002,SOBEGI,France,100,SOBEGI MOURENX,5022478,SOBEGI,12018
75,EU520660,10-0,2019-04-30 14:35:56.491,Completed,Germany,100,RWE Vertrieb AG Retail - Trading,5017190,innogy SE,Germany,100,1108 - HKW_Adlershof,5014343,BTB BHKW- Träger- und Betreiber GmbH Berlin,3500
76,EU520190,10-0,2019-04-30 14:33:02.869,Completed,Germany,100,Emissionshändler.com GEMB mbH,5019435,GEMB Gesellschaft für Emissionsmanagement und Beratung mbH,Germany,100,536 - Anlagenkonto,5015501,Pappenfabrik Trauchgau GmbH & Co. KG,5107
77,EU520651,10-0,2019-04-30 14:29:20.42,Completed,Netherlands,100,ACT Trading,5017134,ACT Financial Solutions B.V.,France,100,NOVACOGE,5004889,NOVACARB,5000
78,EU520386,10-2,2019-04-30 14:28:25.787,Completed,France,100,COLAS PROJECTS - TSM 25-3,5023115,COLAS FRANCE,European Commission,100,EU Allowance deletion,5016380,European Commission,1256
79,EU520396,10-2,2019-04-30 14:26:55.015,Completed,France,100,COLAS PROJECTS - TSM 25-2,5023137,COLAS FRANCE,European Commission,100,EU Allowance deletion,5016380,European Commission,2016
80,EU520401,10-2,2019-04-30 14:24:44.995,Completed,France,100,COLAS PROJECTS - TSM 25-4,5026719,COLAS PROJECTS,European Commission,100,EU Allowance deletion,5016380,European Commission,1069
81,EU520288,10-2,2019-04-30 14:22:31.48,Completed,Italy,100,CENTRALE CAPRI,5027343,S.I.P.P.I.C. S.p.A.,European Commission,100,EU Allowance deletion,5016380,European Commission,368
82,EU520652,10-0,2019-04-30 14:20:43.716,Completed,Netherlands,100,ICE Clear Europe Limited,5026873,ICE Clear Europe Limited,France,100,BNP PARIBAS,5027964,BNP PARIBAS,1336000
83,EU520657,10-2,2019-04-30 14:20:15.938,Completed,Italy,100,Operator Account,5013228,Marangoni S.p.A.,European Commission,100,EU Allowance deletion,5016380,European Commission,29525
84,EU520154,10-0,2019-04-30 14:19:42.288,Completed,Norway,100,Equinor ASA Tjeldbergodden metanolfabrikk,5012304,Equinor ASA,Norway,100,Equinor ASA Raffineri Mongstad,5012302,Equinor ASA,43831
85,EU520649,10-0,2019-04-30 14:19:36.65,Completed,Netherlands,100,ICE Clear Europe Limited,5026873,ICE Clear Europe Limited,United Kingdom,100,ABN AMRO Clearing Bank N.V,5017351,"ABN AMRO Clearing Bank N.V, London Branch",25000
86,EU520658,10-0,2019-04-30 14:18:39.126,Completed,Netherlands,100,Electrabel S.A./N.V.,5017550,Electrabel NV/SA,Netherlands,100,ENGIE Maximacentrale,5011278,ENGIE Energie Nederland N.V.,51982
87,EU520647,10-0,2019-04-30 14:18:27.111,Completed,Netherlands,100,ICE Clear Europe Limited,5026873,ICE Clear Europe Limited,United Kingdom,100,Newedge UK Financial Ltd,5016868,Societe Generale International Limited,397000
88,EU520641,10-0,2019-04-30 14:17:26.585,Completed,Netherlands,100,ICE Clear Europe Limited,5026873,ICE Clear Europe Limited,United Kingdom,100,ED&F Man Capital Markets Ltd,5023256,E D & F MAN CAPITAL MARKETS LIMITED,69000
89,EU520640,10-0,2019-04-30 14:15:33.366,Completed,Netherlands,100,ICE Clear Europe Limited,5026873,ICE Clear Europe Limited,Germany,100,Commerzbank AG - Trading Account,5016810,COMMERZBANK Aktiengesellschaft,200000
90,EU520626,10-2,2019-04-30 14:07:57.95,Completed,Germany,100,iglo GmbH Heizwerk Reken,5015046,iglo GmbH,European Commission,100,EU Allowance deletion,5016380,European Commission,13389
91,EU520638,10-2,2019-04-30 14:07:48.876,Completed,Hungary,100,Operator Account:HU146,5011774,Mázai Téglagyár Ipari és Kereskedelmi Kft.,European Commission,100,EU Allowance deletion,5016380,European Commission,689
92,EU520164,10-0,2019-04-30 14:03:11.257,Completed,France,100,Société Valmy Défense 17 - SVD17,5023377,SVD 17,France,100,COGESTAR 3 - CEA Saclay,5028083,COGESTAR 3,7563
93,EU520170,10-0,2019-04-30 14:02:34.38,Completed,Germany,100,Feldmuehle GmbH Anlage PM,5015402,Feldmuehle GmbH,Germany,100,Commerzbank AG - Trading Account,5016810,COMMERZBANK Aktiengesellschaft,5672
94,EU520650,10-2,2019-04-30 14:01:21.976,Completed,Germany,100,441 - Anlagenkonto,5014369,Deppe Backstein-Keramik GmbH,European Commission,100,EU Allowance deletion,5016380,European Commission,7841
95,EU504683,10-2,2019-04-30 13:56:33.235,Completed,Norway,100,Fluorsid Noralf AS,5027041,Fluorsid Noralf AS,European Commission,100,EU Allowance deletion,5016380,European Commission,10730
96,EU520643,10-2,2019-04-30 13:53:05.864,Completed,Spain,100,"APOLO CERÁMICAS, S.L.",5018275,"APOLO CERÁMICAS, S.L.",European Commission,100,EU Allowance deletion,5016380,European Commission,3770
97,EU520644,10-86,2019-04-30 13:48:24.119,Completed,Germany,100,419 - Anlagenkonto,5014171,Sander Insolvenzverwalter der Wehrmann-Ziegel GmbH,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,2116
98,EU520646,10-72,2019-04-30 13:47:52.264,Completed,European Commission,100,EU Credit Exchange Account,5022593,EUROPEAN COMMISSION,France,100,WEYLCHEM LAMOTTE,5005967,WEYLCHEM LAMOTTE,17959
99,EU520569,10-71,2019-04-30 13:46:52.357,Completed,France,100,WEYLCHEM LAMOTTE,5005967,WEYLCHEM LAMOTTE,European Commission,100,EU International Credit Account,5022590,EUROPEAN COMMISSION,17959
100,EU518806,10-0,2019-04-30 13:43:21.738,Completed,Bulgaria,100,Toplofikacia Sofia EAD – Sofia Iztok,5016193,Toplofikacia Sofia EAD,Bulgaria,100,Toplofikacia Sofia EAD-TEC Sofia,5016194,Toplofikacia Sofia EAD,17983
101,EU520617,10-2,2019-04-30 13:43:16.585,Completed,Italy,100,Operator Account,5012516,RAIPAPER s.r.l.,European Commission,100,EU Allowance deletion,5016380,European Commission,691
102,EU520639,10-0,2019-04-30 13:42:30.911,Completed,Spain,100,FUTURA CARBONO S.L.,5024181,FUTURA CARBONO S.L.,Spain,100,"Ecollería, S.L.",5024321,"Ecollería, S.L.",4034
103,EU520601,10-0,2019-04-30 13:40:49.326,Completed,Spain,100,FUTURA CARBONO S.L.,5024181,FUTURA CARBONO S.L.,Spain,100,"APOLO CERÁMICAS, S.L.",5018275,"APOLO CERÁMICAS, S.L.",709
104,EU520094,10-0,2019-04-30 13:39:08.062,Completed,Spain,100,"Cofely Energía Martorell, SL",5009229,"Cofely Energía Martorell, SL",Spain,100,Cuenta entrega unidades en nombre de instalaciones excluidas,5023046,Cuenta entrega unidades en nombre de instalaciones excluidas,1812
105,EU520158,10-0,2019-04-30 13:38:50.861,Completed,Germany,100,884 - Anlagenkonto,5016053,Stadtwerke Frankfurt (Oder) GmbH,Germany,100,883 - Anlagenkonto,5016044,Stadtwerke Frankfurt (Oder) GmbH,40000
106,EU520099,10-0,2019-04-30 13:37:47.909,Completed,Spain,100,"Cofely Energía Martorell, SL",5009229,"Cofely Energía Martorell, SL",Spain,100,Cuenta entrega unidades en nombre de instalaciones excluidas,5023046,Cuenta entrega unidades en nombre de instalaciones excluidas,3884
107,EU520632,10-0,2019-04-30 13:36:29.971,Completed,Bulgaria,100,LYBRA ENERGY,5023501,Либра Енерджи ЕООД,United Kingdom,100,CFP Energy Limited,5017513,CFP Energy Limited,5000
108,EU520635,10-2,2019-04-30 13:29:38.179,Completed,Spain,100,Airlease Corporation,5019995,Airlease Corporation,European Commission,100,EU Allowance deletion,5016380,European Commission,39
109,EU520625,10-2,2019-04-30 13:26:12.192,Completed,Poland,100,Instalacja Produkcji Papieru Stara Bystrzyca,5003367,"Apis Fijałkowski,  Bloch Spółka Jawna",European Commission,100,EU Allowance deletion,5016380,European Commission,7362
110,EU520634,10-2,2019-04-30 13:25:23.79,Completed,Greece,100,ELLINAIR S.A.,5022838,ELLINAIR S.A.,European Commission,100,EU Allowance deletion,5016380,European Commission,1
111,EU520621,10-0,2019-04-30 13:22:08.153,Completed,Netherlands,100,Vertis Environmental Finance Ltd,5017659,Vertis Environmental Finance Ltd,Hungary,100,Operator Account:HU146,5011774,Mázai Téglagyár Ipari és Kereskedelmi Kft.,80
112,EU520630,10-2,2019-04-30 13:20:17.536,Completed,Belgium,100,220 Clarebout Potatoes,5004619,Clarebout Potatoes,European Commission,100,EU Allowance deletion,5016380,European Commission,2
113,EU520631,10-2,2019-04-30 13:19:46.947,Completed,France,100,ALPHA STAR AVIATION SERVICES,5026157,ALPHA STAR AVIATION SERVICES,European Commission,100,EU Allowance deletion,5016380,European Commission,518
114,EU520150,10-0,2019-04-30 13:18:00.25,Completed,Netherlands,100,Koole Tankstorage Pernis B.V.,5011042,Koole Tankstorage Pernis B.V.,Netherlands,100,Koole Tankstorage Minerals B.V.,5024783,Koole Tankstorage Minerals B.V.,8000
115,EU516318,10-0,2019-04-30 13:17:48.555,Completed,France,100,NOVAPEX,5022586,NOVAPEX,Netherlands,100,ACT Trading,5017134,ACT Financial Solutions B.V.,25000
116,EU520548,10-0,2019-04-30 13:14:26.798,Completed,United Kingdom,100,Newedge UK Financial Ltd,5016868,Societe Generale International Limited,Netherlands,100,ICE Clear Europe Limited,5026873,ICE Clear Europe Limited,850000
117,EU520629,10-2,2019-04-30 13:14:25.86,Completed,France,100,SEER CHAUFFERIE GRIGNY II,5005010,SPL SEER GRIGNY VIRY,European Commission,100,EU Allowance deletion,5016380,European Commission,5078
118,EU520347,10-2,2019-04-30 13:13:22.352,Completed,Spain,100,Avianca,5019998,Avianca,European Commission,100,EU Allowance deletion,5016380,European Commission,13
119,EU520628,10-72,2019-04-30 13:09:01.366,Completed,European Commission,100,EU Credit Exchange Account,5022593,EUROPEAN COMMISSION,Belgium,100,220 Clarebout Potatoes,5004619,Clarebout Potatoes,2
120,EU520545,10-71,2019-04-30 13:08:08.237,Completed,Belgium,100,220 Clarebout Potatoes,5004619,Clarebout Potatoes,European Commission,100,EU International Credit Account,5022590,EUROPEAN COMMISSION,2
121,EU520623,10-2,2019-04-30 13:03:36.644,Completed,France,100,Cpte GASSCO AS,5005298,GASSCO SA,European Commission,100,EU Allowance deletion,5016380,European Commission,5956
122,EU520624,10-2,2019-04-30 13:02:07.631,Completed,Bulgaria,100,Biovet JSCo-Cogeneration plant Biovet,5016154,Biovet JSCo,European Commission,100,EU Allowance deletion,5016380,European Commission,370
123,EU520136,10-0,2019-04-30 13:01:38.276,Completed,Germany,100,917 - Anlagenkonto,5013963,Stadtwerke Ratingen GmbH,Germany,100,RWE Vertrieb AG Retail - Trading,5017190,innogy SE,4162
124,EU520618,10-0,2019-04-30 13:00:48.135,Completed,Germany,100,ECC AG Handel,5016813,European Commodity Clearing AG,France,100,EDF TRADING LIMITED,5027028,EDF TRADING LTD,15000
125,EU520620,10-2,2019-04-30 13:00:36.755,Completed,United Kingdom,100,JPS LTD,5007882,Advanced Proteins Unltd,European Commission,100,EU Allowance deletion,5016380,European Commission,34137
126,EU520622,10-0,2019-04-30 12:57:42.907,Completed,Czech Republic,100,LAMA,5020068,LAMA energy a.s.,United Kingdom,100,Mitsui Bussan Commodities Ltd,5017395,Mitsui Bussan Commodities Ltd,1750
